Age,Annual Income (k$),Spending Score (1-100),Cluster
19,15,39,8
21,15,81,3
20,16,6,4
23,16,77,3
31,17,40,8
22,17,76,3
35,18,6,4
23,18,94,3
64,19,3,4
30,19,72,3
67,19,14,4
35,19,99,3
58,20,15,4
24,20,77,3
37,20,13,4
22,20,79,3
35,21,35,8
20,21,66,3
52,23,29,8
35,23,98,3
35,24,35,8
25,24,73,3
46,25,5,4
31,25,73,3
54,28,14,4
29,28,82,3
45,28,32,8
35,28,61,6
40,29,31,8
23,29,87,3
60,30,4,4
21,30,73,3
53,33,4,4
18,33,92,3
49,33,14,4
21,33,81,3
42,34,17,4
30,34,73,3
36,37,26,8
20,37,75,3
65,38,35,8
24,38,92,3
48,39,36,8
31,39,61,6
49,39,28,8
24,39,65,6
50,40,55,6
27,40,47,6
29,40,42,6
31,40,42,6
49,42,52,6
33,42,60,6
31,43,54,6
59,43,60,6
50,43,45,6
47,43,41,6
51,44,50,6
69,44,46,6
27,46,51,6
53,46,46,6
70,46,56,6
19,46,55,6
67,47,52,6
54,47,59,6
63,48,51,6
18,48,59,6
43,48,50,6
68,48,48,6
19,48,59,6
32,48,47,6
70,49,55,6
47,49,42,6
60,50,49,6
60,50,56,6
59,54,47,0
26,54,54,6
45,54,53,6
40,54,48,0
23,54,52,6
49,54,42,0
57,54,51,6
38,54,55,6
67,54,41,0
46,54,44,0
21,54,57,6
48,54,46,0
55,57,58,0
22,57,55,0
34,58,60,0
50,58,46,0
68,59,55,0
18,59,41,0
48,60,49,0
40,60,40,0
32,60,42,0
24,60,52,0
47,60,47,0
27,60,50,0
48,61,42,0
20,61,49,0
23,62,41,0
49,62,48,0
67,62,59,0
26,62,55,0
49,62,56,0
21,62,42,0
66,63,50,0
54,63,46,0
68,63,43,0
66,63,48,0
65,63,52,0
19,63,54,0
38,64,42,0
19,64,46,0
18,65,48,0
19,65,50,0
63,65,43,0
49,65,59,0
51,67,43,0
50,67,57,0
27,67,56,0
38,67,40,0
40,69,58,0
39,69,91,5
23,70,29,2
31,70,77,5
43,71,35,0
40,71,95,5
59,71,11,2
38,71,75,5
47,71,9,2
39,71,75,5
25,72,34,0
31,72,71,5
20,73,5,2
29,73,88,5
44,73,7,2
32,73,73,5
19,74,10,2
35,74,72,5
57,75,5,2
32,75,93,5
28,76,40,0
32,76,87,5
25,77,12,2
28,77,97,5
48,77,36,0
32,77,74,5
34,78,22,2
34,78,90,5
43,78,17,2
39,78,88,5
44,78,20,2
38,78,76,5
47,78,16,2
27,78,89,5
37,78,1,2
30,78,78,5
34,78,1,2
30,78,73,5
56,79,35,0
29,79,83,5
19,81,5,2
31,81,93,5
50,85,26,2
36,85,75,5
42,86,20,2
33,86,95,1
36,87,27,2
32,87,63,5
40,87,13,2
28,87,75,5
36,87,10,2
36,87,92,1
52,88,13,2
30,88,86,1
58,88,15,2
27,88,69,5
59,93,14,2
35,93,90,1
37,97,32,7
32,97,86,1
46,98,15,7
29,98,88,1
41,99,39,7
30,99,97,1
54,101,24,7
28,101,68,1
41,103,17,7
36,103,85,1
34,103,23,7
32,103,69,1
33,113,8,7
38,113,91,1
47,120,16,7
35,120,79,9
45,126,28,7
32,126,74,9
32,137,18,7
30,137,83,9
